player,kill_per_round,death_per_round,KD_ratio,acs,entry_success_rate,entry_diff,first_kills,clutch_per_round,clutch_weight,multikill_score,util_score,assists,defuses,plants,econ_rating,eco_rounds_pct,full_buy_pct,hs_pct,kast_pct,win_rate,n_maps_played,cluster_raw,cluster,archetype,is_outlier,pca1,pca2,tsne1,tsne2
Abo,0.7045007602712284,0.7373550776119392,1.0143420055953536,200.33644859813083,0.4577436582109479,-0.34579439252336447,2.514018691588785,0.001142263759086189,0.028037383177570093,0.3925233644859813,0.0,4.4392523364485985,0.0,0.0,3.532710280373832,0.009190705452387695,0.0,33.429906542056074,68.6214953271028,0.4392523364485981,107,0,0,⚔️ Entry Fragger,False,-5.623031141005146,0.5332685719585373,-38.47056,3.126552
Absol,0.6800980392156862,0.7523172905525847,0.964080676805135,196.4,0.5267857142857142,-0.3,2.6,0.005,0.1,4.5,0.6,4.0,0.3,0.3,43.1,0.15647504456327985,0.0,18.7,69.2,0.3,10,1,1,🧠 Strategic IGL/Support,True,0.6024350920883839,0.6482156995726067,14.217164,-8.036618
Ace,0.6285494121891181,0.6817807804940158,0.9698828699143134,174.4375,0.5083333333333333,-0.0625,1.625,0.01655366692131398,0.4375,3.0625,1.5,7.8125,0.25,1.25,40.25,0.12187950937950938,0.0,33.8125,75.5625,0.5,16,1,1,🧠 Strategic IGL/Support,False,-0.17105750408163356,-0.2914878718206902,-7.889196,3.889239
Akame,0.6796555020673677,0.7259178374309617,1.013906938177062,196.8,0.48671861471861466,0.08,1.94,0.015591093117408908,0.3,4.42,3.36,5.48,0.46,2.9,54.5,0.14316181978384157,0.0,31.22,72.08,0.4,50,1,1,🧠 Strategic IGL/Support,False,1.6518821780828508,0.1460407255999348,2.058666,3.3759909
Akeman,0.6572602124381188,0.7740650393297677,0.8869469804170527,191.13333333333333,0.4686964886964887,-0.5111111111111111,2.977777777777778,0.0044444444444444444,0.1111111111111111,0.5111111111111111,0.08888888888888889,4.955555555555556,0.044444444444444446,0.044444444444444446,4.044444444444444,0.013384418901660282,0.0,28.155555555555555,65.88888888888889,0.4666666666666667,45,0,0,⚔️ Entry Fragger,True,-5.379481756165543,-0.06870610506352409,-39.699413,2.9502022
Alfajer,0.8142097993257362,0.6615187986810486,1.3135928876847092,224.32926829268294,0.5591684850831192,0.7642276422764228,2.7357723577235773,0.021315461443634158,0.4634146341463415,5.91869918699187,1.2926829268292683,3.83739837398374,0.5284552845528455,0.7642276422764228,55.52439024390244,0.1317679074781781,0.0,31.056910569105693,73.130081300813,0.6463414634146342,246,1,1,🧠 Strategic IGL/Support,False,1.571066741472448,3.3323900205444685,20.238224,2.7170467
Anthem,0.581558581590364,0.733951564019167,0.8237538613936103,171.40740740740742,0.339021164021164,-0.7222222222222222,1.1111111111111112,0.0284887704397957,0.5925925925925926,3.4074074074074074,2.4814814814814814,6.481481481481482,0.3333333333333333,2.1481481481481484,46.51851851851852,0.15130065268112858,0.0,25.90740740740741,71.31481481481481,0.18518518518518517,54,1,1,🧠 Strategic IGL/Support,False,1.2449848837495776,-2.4411656308221126,-3.4681852,-7.128778
Aowha,0.5846548875960641,0.7512447342370616,0.7946239943788964,170.77777777777777,0.30873015873015874,-0.5555555555555556,1.3333333333333333,0.021619684663162924,0.5555555555555556,4.0,1.8888888888888888,6.666666666666667,0.3333333333333333,1.5555555555555556,46.22222222222222,0.17541290763797157,0.0,23.77777777777778,69.22222222222223,0.3333333333333333,9,1,1,🧠 Strategic IGL/Support,False,1.6921352461734163,-2.388238279679002,-0.2541752,-9.302883
Apoth,0.5838823924040643,0.7312452215590255,0.8600203836697645,172.0,0.34759259259259256,-1.3333333333333333,1.8666666666666667,0.021984754376058725,0.5,4.0,0.6666666666666666,4.766666666666667,0.3333333333333333,0.3333333333333333,46.93333333333333,0.15913563237513298,0.0,35.06666666666667,60.666666666666664,0.43333333333333335,30,1,1,🧠 Strategic IGL/Support,True,1.1242212785912082,-2.1672845808569505,3.0660448,-12.780182
Art,0.4903865740980427,0.7752501843458736,0.6736316877716292,154.3,0.2889285714285714,-1.3,1.15,0.004554865424430642,0.1,2.8,1.75,6.15,0.4,1.35,42.9,0.15675133911159958,0.0,21.85,64.45,0.3,20,1,1,🧠 Strategic IGL/Support,True,0.48185514963751813,-3.8865670449804934,-0.70263237,-12.911607
Artill,0.5415296758434014,0.758089060540041,0.8447751322751322,159.22222222222223,0.39576719576719577,-0.4444444444444444,1.6666666666666667,0.019865319865319864,0.3333333333333333,2.6666666666666665,3.0,4.333333333333333,0.3333333333333333,2.6666666666666665,44.0,0.17498844655707402,0.0,23.22222222222222,60.55555555555556,0.3333333333333333,9,1,1,🧠 Strategic IGL/Support,True,1.4927352809125867,-2.6300338319936376,1.0201125,-10.492928
AsLanM4shadoW,0.7093025493176687,0.7464703342784896,1.0004193749024577,199.17857142857142,0.42716836734693875,-0.6428571428571429,1.6071428571428572,0.035659971770628844,0.7857142857142857,5.0,2.0357142857142856,4.107142857142857,0.4642857142857143,1.5714285714285714,49.392857142857146,0.1270622581963394,0.0,26.535714285714285,68.07142857142857,0.35714285714285715,28,1,1,🧠 Strategic IGL/Support,True,1.3338191207179602,-0.3422096009758012,7.8972044,-2.2765682
Ash,0.6302228719432483,0.5897829474001939,1.1935025783202455,173.4262295081967,0.4932864949258392,-0.03278688524590164,1.098360655737705,0.029464983708599225,0.6229508196721312,3.8852459016393444,4.327868852459017,5.770491803278689,0.5081967213114754,3.819672131147541,52.557377049180324,0.13805121982199683,0.0,30.475409836065573,74.32786885245902,0.5409836065573771,61,1,1,🧠 Strategic IGL/Support,True,1.9079236892063378,-0.6028984936130422,0.03440617,10.116914
Askia,0.6814156345890092,0.7367760378596292,0.930798778339589,194.0,0.5011740784468057,-0.18181818181818182,3.1818181818181817,0.03216932706096793,0.6363636363636364,4.636363636363637,0.6363636363636364,3.1818181818181817,0.36363636363636365,0.2727272727272727,50.54545454545455,0.14436475117589667,0.0,31.545454545454547,65.0,0.2727272727272727,11,1,1,🧠 Strategic IGL/Support,False,1.3037946015254918,0.720546451523806,11.712501,-3.2022274
Asuna,0.6897588483981716,0.7105790209073983,1.0486243673974147,204.78064516129032,0.4458188764640378,-0.21935483870967742,2.567741935483871,0.01938278145817041,0.41935483870967744,4.341935483870968,3.0580645161290323,7.832258064516129,0.4774193548387097,2.5806451612903225,50.08387096774194,0.13864457880808365,0.0,21.129032258064516,73.83870967741936,0.5096774193548387,155,1,1,🧠 Strategic IGL/Support,False,1.3817584285481719,0.14860181979467563,1.3940426,5.127171
AtaKaptan,0.6556118003749521,0.7025379418512913,0.996783720748115,188.23776223776224,0.4099594849594849,-0.6013986013986014,1.5804195804195804,0.023811597395617022,0.48951048951048953,3.839160839160839,2.0,8.615384615384615,0.3356643356643357,1.6643356643356644,43.26573426573427,0.13575825189732887,0.0,28.79020979020979,72.01398601398601,0.5034965034965035,143,1,1,🧠 Strategic IGL/Support,False,0.6712812406408889,-0.9521166486230164,-2.3026,-0.13722694
Au1,0.6069182173250688,0.7091561077138712,0.9118581296154826,182.1,0.41785714285714287,-0.3,1.3,0.0,0.0,1.3,0.45,6.05,0.1,0.35,20.45,0.06645048255763022,0.0,20.5,66.9,0.6,20,0,0,⚔️ Entry Fragger,True,-3.32899418431242,-1.0483388092028418,-31.236235,0.0047240267
Autumn,0.7338755707978113,0.6839719892307617,1.1258332263360042,207.66141732283464,0.5177764711229278,0.3464566929133858,2.3149606299212597,0.0036629561621002904,0.07874015748031496,1.2677165354330708,0.28346456692913385,5.251968503937008,0.1732283464566929,0.11023622047244094,10.440944881889763,0.02677135573764342,0.0,32.188976377952756,70.61023622047244,0.49606299212598426,127,0,0,⚔️ Entry Fragger,False,-4.496358568625201,1.6065204679185612,-37.203407,5.695096
Avez,0.7431256727891282,0.6830841973520494,1.1981110716456391,211.33018867924528,0.47051988891611535,-0.41509433962264153,1.9622641509433962,0.016574261266847943,0.39622641509433965,5.622641509433962,2.5849056603773586,5.811320754716981,0.7169811320754716,1.8679245283018868,53.660377358490564,0.13971351509590868,0.0,32.735849056603776,71.81132075471699,0.4528301886792453,53,1,1,🧠 Strategic IGL/Support,True,1.8663209838259434,0.8491683915469822,4.0698805,4.0388513
